Judul Berita
Sambo Minta Dibebaskan dari Segala Dakwaan dan Tuntutan
Ferdy Sambo Minta Dibebaskan di Kasus Pembunuhan Brigadir Yosua
Pengacara Sambo Nilai Jaksa Gagal Tunjukkan Motif Pembunuhan Yosua
"Curhat Sambo Lewat Pleidoi: Dituduh Bandar Judi, Selingkuh hingga LGBT"
Sambo Kutip Ayat Alkitab di Pleidoi: Kiranya Tuhan Beri Kesempatan Bertobat
"Sambo: Tak Terbayang, Hidup Saya Terhormat dalam Sekejap Terperosok Nestapa"
"Sambo Curhat Lewat Pleidoi: Saya Dituduh Bandar Judi, Selingkuh, dan LGBT"
Ferdy Sambo Bicara 'Pembelaan Sia-sia' Saat Bacakan Pleidoi
Sidang Pleidoi Ferdy Sambo Atas Tuntutan Bui Seumur Hidup
Hari Ini: Pembelaan Ferdy Sambo Melawan Hukuman Bui Seumur Hidup
Pembelaan Diri Ferdy Sambo Hari Ini Lawan Tuntutan Seumur Hidup Bui
Kejagung Bandingkan Tembakan Eliezer dengan Regu Tembak yang Jalankan Tugas
Pecah Tangis Keluarga Yosua Usai Tuntutan Sambo Cs Tak Sesuai Harapan
"Indra Bekti Pulang ke Rumah, Ferry Irawan Beri Pembelaan Usai Disebut Miskin"
Pakar Unpad soal Hukuman 12 Tahun Eliezer: Jaksa Punya Pertimbangan
Mahfud Yakin Kejaksaan Independen Tuntut Sambo Penjara Seumur Hidup
Senyum Agus Nurpatria Saat Ditanya soal Tuntutan Seumur Hidup Bui Sambo
Kejagung Jelaskan Alasan Tidak Ada Hal Meringankan dalam Tuntutan Sambo
Kejagung Singgung Peran Eliezer: JC Tak Diatur di Kasus Pembunuhan Berencana
"Jampidum: Ricky Rizal Lawan Perintah Sambo, Harusnya Eliezer Bisa Menolak"
Kejagung Ungkap Alasan Tak Ada Hal Meringankan di Tuntutan Ferdy Sambo
Jampidum Bicara soal Istri Sambo dan Yosua Selingkuh: Itu Bumbu-bumbu
"Pro Kontra Tuntutan Sambo dkk, Kejagung Ogah Disebut Polemik"
Jampidum soal Tinggi Rendah Tuntutan Sambo dkk: Hormati Kewenangan Jaksa!
Jaksa Tepis Protes Usai Tuntut Eliezer 12 Tahun Bui: Lebih Ringan dari Sambo
Jampidum: Jaksa yang Tuntut Sambo dkk Tak Masuk Angin!
Kejagung soal Tuntutan Seumur Hidup Bui Sambo: Dia Pelaku Intelektual
"Putri Candrawathi Dituntut Lebih Rendah dari Eliezer, Ini Alasan Kejagung"
Jaksa Angkat Bicara soal Perbedaan Peran Eliezer Vs Sambo di Kasus Yosua
Hancur Hati Ibu Yosua saat Tahu Putri Candrawathi Dituntut 8 Tahun Bui
