tweets
Vonis hukuman penjara seumur hidup berarti sampe mati di penjara kan ya
"@asumsico penjara seumur hidup,... 

s&amp;k berlaku"
"JPU telah menuntut hukuman pada masing2 terdakwa kasus pembunuhan berencana Brigadir J, FS seumur Hidup, PC, RR dan Kuat Ma'ruf masing2 8 tahun dan  Richard Eliezer 12 tahun penjara. LPSK menilai Richard Eliezer semestinya mendapat tuntutan paling ringan dari 4 terdakwa lain. https://t.co/o3WNA2X8LD"
"@convomf Iya deh gue bingung. Dr gue msh cimit cimit, denger kata penjara seumur hidup juga connect nya langsung penjara sampe mati. Setelah main Twitter gue baru tau klo ada org yg salah artiin konsep itu."
"Punya pundi² seratus triliun rupiah itu bisa beli apa saja, bahkan beli banyak kepala yg ada banderolnya.
Ancaman mati mau dibuat jadi seumur hidup atau 20 tahun penjara, pasti bisa!
Malahan ancaman mati didiskon habis²an, so juga bisa!
Semua aturable! Bisa diatur."
"@convomf Nder... Temen-temen gua pas maba (FH) aja masih banyak yg ga tau kalau penjara seumur hidup itu ya dipenjara selama dia hidup alias sampe meninggal dipenjaranya, untungnya langsung dilurusin sama dosen"
Video: Ferdy Sambo Dituntut Penjara Seumur Hidup https://t.co/d8mVdZcFvM
"@KompasTV Untuk pelaku penembakan di pasal 340 KUHP , tuntutan 12 tahun penjara, sudah sangat ringan jika bukan sebagai JC tuntutan nya bisa seumur hidup atau mati"
"@convomf lah, gue mikir dri awal penjara seumur hidup kan brrti emg seluruh sisa idupnya dipenjara bukan? sampe dia mati, kok bisa ada yg mikir sesuai usia pas mau dipenjara? ya Allah bru tau gue ada yg mikir begitu..."
"Arti Penjara Seumur Hidup pada Tuntutan Hukuman Ferdy Sambo dan Bedanya dengan Hukuman Mati

#FerdySambo #BrigadirJ #penjaraseumurhidup #hukumanmati
 
https://t.co/nRrJVWvwAn lewat @tribunkaltim"
Malah gua yg bingung kenapa bisa ada yg nganggep penjara seumur hidup itu sesuai sama usia. Udah jelas2 'seumur hidup'🥲 https://t.co/MX7CJxyL5k
Ferdy Sambo dituntut hukuman penjara seumur hidup atas kasus pembunuhan Brigadir Yosua Hutabarat. Kini foto 'menua'nya hasil Agan Harahap pun ramai lagi. https://t.co/0209ooI0GM
"@GusIwan72 @akbarfaizal68 @KejaksaanAgung @mohmahfudmd @jokowi Si FS malah dituntut penjara seumur hidup, bukan hukuman mati. Padahal dia seorang penegak hukum yg merencanakan pembunuhan."
"kok bisa ada yg mikir gini ya, padahal menurut gwe nih dah jelas bgt klo penjara seumur hidup itu ""sampe dia mati"" bukan sesuai umurnya https://t.co/bZ6R26ry9D"
"@musfiel Dulu percayanya penjara seumur hidup itu sampai mati,tapi kata guruku sesuai dengan usia dia"
"padahal udah jelas SEUMUR HIDUP, ya berarti selama dia hidup dia bakal di penjara terus = dia baru bebas keluar penjara kalau udah mati. https://t.co/SNOHtHxMQR"
"@Miduk17 Seharusnya orang"" berpenyakit scr nasional itu dihukum mati sajalah. Klopun hukuman seumur hidup, penjara yg ditempati wajib ada cctv scr onlen, shg rakyat Indonesia bisa mngawasi, liat sj gayus bisa jalan"" bebas."
@KompasTV Hukuman harus sama dengan FS penjara seumur hidup.
"@Ngadiminns Dia nggak salah kok.
Memang definisi penjara seumur hidup = dipenjara sampai meninggal.

Coba lihat infografis di bawah ini, buatan @KomisiYudisial dan @KejaksaanRI

Apa Anda berani bilang Kejaksaan SALAH dan IDIOT?

Apa Anda berani bilang Komisi Yudisial SALAH dan IDIOT? https://t.co/eMfPYADUzQ"
"@iichbinn @convomf Aku menyakini yang ini kak sekian lama, sampe akhirnya temenku ngotot penjara seumur hidup itu sesuai usia dia hidup"
"@convomf Eh iya kah? Selama ini gua bener dong, soalnya gua abis debat ama temen gegara penjara seumur hidup"
"@traggot99 That is SO WRONG.

Definisi penjara seumur hidup = dipenjara sampai mati.

Gak ada hubungannya sama sekali dgn umur.

Penjara sesuai umur = MITOS/SALAH KAPRAH (gak ada di KUHP Indonesia)

It seems you missed this viral tweet:
https://t.co/pkj79gWxtU https://t.co/vHGuxlzuRI"
@musfiel Dulu mikirnya gini jg. Tp pas sekolah (SMP kayaknya) diajarin kalo penjara seumur hidup itu sesuai umur…
"@ysouwhat Definisi penjara seumur hidup = dipenjara sampai mati.

Gak ada hubungannya sama sekali dgn umur.

Penjara sesuai umur = MITOS/SALAH KAPRAH (gak ada di KUHP)

Di Indonesia gak ada pasal yg nyebutin durasi penjara disamakan dgn umur. https://t.co/6gk9X1qiNR"
@convomf Ya kan wkwkwk gua gak kepikiran begitu terus temen gua yg bolot malah bilang klo penjara seumur hidup itu sesuai total usia dia dari lahir sampe dijatuhi hukuman wakwakk
"#Ferdysambo di Penjara 
Seumur hidup sampai tua 
#PutriCandrawathi 8 Tahun 
Penjara Sampai tua nanti
Ricki Rizal dan Kuat maruf
Di Penjara 8 Tahun 
Richard Eliezer 12 Tahun 
Penjara Sampai tua nanti"
Ferdy Sambo Dituntut Hukuman Penjara Seumur Hidup Putri Cs 8 Tahun dan Richat Elezer 12 Tahun https://t.co/mJ3UweNVTl
"@KompasTV Hukum itu buta harus g pandang bulu, tp hukum buatan manusia... manusia tidak buta..., harusnya bisa melihat mana yg berkata jujur mana yg tidak...
Sekarang jaksa (kss Sambo) yg buta...
Sambo hukum mati!!!
PC... seumur hidup!!!
Elizer 15 tahun penjara!!!"
"""Cerita karangan PC itu yang bikin FS naik pitam. Lalu terjadilah pembunuhan. 
Lalu Polri jadi porak poranda.

Hukuman 8 tahun penjara itu tidak adil. Minimal seumur hidup, maksimal hukuman mati."" (REZA)

#BerangusTKAChina 
#BerangusTKAChina"
"@SlndrYp @grace_nat Semua sama di dakwa pasal yg sama 340 tp kenapa ada yg 8 thn dan 12 tahun? padahal ancaman 340 hukum mati, seumur hidup atau penjara 20 thn."
@detektifaladin @convomfs Lah kalo berencana bukannya hrusnya hukuman mati / seumur hidup ya. Kalopun penjara biasa jangka waktu paling lama 25 tahun (yang kubaca) kok bisa JPUnya minta 8 tahun sama 12 tahun 😅
Tunggu sek di penjara seumur hidup sopo reti ngerti2 nonton koe lg Minton mbah wkwkwk @KristiawanO_o
@FirdausAzil Penjara seumur hidup.
"@convomf awalnya ngira ya kalo 'seumur hidup' itu smpe meninggal, tp dikasih tau kalo 'seumur hidup' ya sesuai usianya misal masuk penjara usia 20 thn ya dipenjaranya 20 thn
jd yg bener bagaimana ini:'))"
"@convomf Penjara seumur hidup itu dia didekam dalam penjara sampai akhir hayat, bukan dihitung berdasarkan dari berapa usia tahun dia hidup sekarang ini."
@convomf Aku nangkep nya “seumur hidup” itu ya stay di penjara sampe mokad. Ko bisa ada yang ngira nya sesuai “umur” pelaku? 🫠
"Dari dulu gue juga taunya penjara seumur hidup tuh ya dipenjara sampai mati, sampai akhirnya disesatkan oleh guru PKN di SMA yang jelasin kalau penjara seumur hidup itu hukumannya sesuai sama umur terdakwa. Udah gitu gue percaya percaya aja lagi. 💀 https://t.co/Wwqr29BS5m"
"Padahal memang bener, penjara seumur hidup = dipenjara dari awal masuk sampai meninggal. https://t.co/36Os2myJes"
"@menormang @convomf hukuman mati = langsung eksekusi ditembak dorrrr, selesai.
hukuman seumur hidup = menjalani hukuman di penjara sampai ajal menjemput."
"@convomf gw pernah baca di salah satu menfes yg ngebahas ini, katanya penjara seumur hidup tuh ya dipenjara seumur hidup sampai dia meninggal di penjara.. so, bukan sesuai umur"
"Jaksa Agung Muda Tindak Pidana Umum (Jampidum) Kejaksaan Agung, Fadil Zumhana mengatakan, Ferdy Sambo merupakan otak pembunuhan Brigadir Nofriansyah Yosua Hutabarat. #newsupdate #update #news #text https://t.co/QLUp55vCl1"
tpi gue mengakui emg bunyi pasalnya rancu bahkan smpe skrg msih byk dosen yg bertanya tanya soal penjara seumur hidup itu kayak gmn 😭😭 udahlah yg penting kata gue stop bebal aja kalau emglu dapat info cuman dari internet yg bahkan sumber nya lo gatau
"@musfiel Pemahamanku kalau penjara seumur hidup ya sepanjang dia hidup, jd kalau masih hidup ya terus dipenjara. Kecuali kalau udah mati ya dikubur lah"
pls stop menyebar suatu hal yg gak pasti anjir?!?! soalnya makin banyak org bebal 😭😭 kemaren adek sepupu gue nanya soal ini trs ya gue blgdong kayak ya penjara seumur hidup ya seumur hidup eh dia malah bebal ajg katanya di tt mengikuti umur
@HernandoPrima @convomf Dari si terdakwa hidup di dalam penjara sampe terdakwa mati di dalam penjara mas. Gampangannya hidup seumur hidup sampe metong di jeruji besi.
"@glitterswect @convomf Nah iyaa maksudnya ginii, pernah liat ada perdebatan tentang penjara seumur hidup juga sebelumnya, terus berapa kalipun aku cek google hasilnya tetep kaya gitu. https://t.co/mKjqcUIc2u"
"@convomf Gue dari kecil belum terlalu paham ginian juga udah mikir penjara seumur hidup ya dia di penjara sampai mati namanya juga seumur hidup, tapi kenapa banyak yang bilang sesuai umur ya? Padahal kan simple aja gitu ""seumur hidup"" 🙏😭"
"@flamesccion Penjara seumur hidup = dipenjara sampai mati.

Gak ada hubungannya sama sekali dg umur.

Penjara sesuai umur =MITOS/SALAH KAPRAH (ga ada di KUHP)

Di Indonesia gak ada pasal yg nyebutin durasi penjara disamakan dg umur. https://t.co/BBqWQ4QNz4"
wkwk sumpah pernah lewat tt gue katanya penjara seumur hidup itu sesuai umur gini gue yang kayak uehejfufufu!?!? https://t.co/gj0weVfAkh
